Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
By Accident (No.5), Wendi Turchan,15.95,100,42,3,1/19/16,Abstract,Liquid,Liquid Craft,Collage,United States,No
6A. Strange Days 12x12, Lonnie Benzel,72,100,176,0,12/11/15,Beach,Liquid,Liquid,Liquiding,United States,Yes
Archies, Johann Wendelin Heiss,54.096,100,492,3,10/14/14,Architecture,Craft,Craft Digital Liquid,Digital,Germany,Yes
Luxury, Eduardo Bessa Rodrigues,44.368,100,1598,14,5/4/10,Pop Culture/Celebrity,Solid,Solid,Liquiding,Portugal,Yes
Barefoot Driving Economics 2, Fabio Coruzzi,37.288,110,2808,6,2/28/14,Automobile,Liquid,Liquid Liquid Craft Liquid Liquid,Liquiding,United States,Yes
I Almost Believed You There For a Moment, Lorette C Luzajic,115.2,125,447,11,11/7/15,Abstract,Digital,Craft Liquid Liquid Gesso Liquid,Liquiding,Canada,No
Sleeping, Humphrey Isselt,54.372,125,624,13,10/26/13,Portrait,Craft,Craft,Drawing,Netherlands,Yes
Tapestry of white trees, Rimma Mitchell,21.6,139,142,3,2/3/15,Landscape,Digital,Digital,Digital,United States,Yes
DISSUADED, Oscar Manuel Vargas,72.8,149,1371,13,4/6/13,Architecture,Digital,Other Objects Solid Solid Digital Liquid,Sculpture,United States,Yes
Route, Ebru Acar Taralp,117.936,150,1054,7,10/3/10,Political,Digital,Other,Collage,Turkey,No
Rusty Neon, Omar Wysong,5904,150,383,7,1/29/16,Abstract,Solid,Solid Liquid,Sculpture,United States,No
109-COLLAGES Pintados. Greta Garbo., CARMEN LUNA,48.776,160,687,8,11/1/14,Celebrity,Liquid,Liquid Craft,Collage,Spain,No
Red Chair 2, Cynthia Kaufman Rose,14.4,195,172,4,7/31/15,Geometric,Liquid,Liquid Digital Craft,Collage,United States,Yes
Red Horizon 3, Sarah Dodd,864,200,314,1,7/29/15,Beach,Liquid,Liquid,Liquiding,United Kingdom,No
Tehos - Double Thought Blue 0430, Tehos Frederic CAMILLERI,19.305,219,618,27,9/5/15,Geometric,Craft,Craft Liquid spray bomb Liquid glue,Collage,Czech Republic,No
Carnation, Maurice Sapiro,21.6,230,1871,3,9/7/10,Performing Arts,Digital,Digital,Digital,United States,Yes
39- Greta Garbo x Carmen Luna., CARMEN LUNA,108.744,240,1391,11,7/31/13,Celebrity,Digital,Craft,Collage,Spain,No
rabbit 14, SANTHOSH C H,10.8,250,229,13,1/13/16,Animal,Liquid,Liquid Craft,Liquiding,India,Yes
Alpha & Omega, Andrew Kalkov,74.576,250,274,5,3/8/13,Religious,Liquid,Liquid,Liquiding,Ukraine,No
B.B, Sladana Zivkovic,96.525,250,1625,20,2/2/13,Fashion,Craft,Craft,Collage,Canada,No
THE NAVIGATORS. Craft 1/30., Oscar Manuel Vargas,725.76,259,116,1,2/17/16,Fantasy,Digital,Digital Craft,Digital,United States,No
38-Greta Garbo by Carmen Luna, CARMEN LUNA,71.592,260,3228,19,5/31/98,Celebrity,Digital,Other,Collage,Spain,No
Secret Dance, Abhishek Kumar,110.5,260,609,23,12/14/15,Abstract,Liquid,Liquid,Liquiding,India,Yes
Man Playing a Grill as a Violin, Boriss Ivanov,23.52,260,1285,9,11/18/13,World Culture,Solid,Solid,Sculpture,Estonia,No
The DrLiquider Seen from the Front, Boriss Ivanov,17.856,260,1245,11,11/19/13,World Culture,Solid,Solid,Sculpture,Estonia,No
Summer, Ro Furkim,102.44,260,277,0,12/31/69,Fashion,Liquid,Liquid,Liquiding,Brazil,No
character, Pascal Marlin,12.544,300,1122,19,8/31/14,People,Solid,Liquid Craft Solid,Collage,France,Yes
deconstruction r004, Mark Fearn,18.88,300,319,8,8/27/15,Abstract,Solid,Liquid,Liquiding,United Kingdom,Yes
Rose 1, Daniel Kozeletckiy,609.408,300,1375,17,11/8/11,Floral,Liquid,Liquid,Liquiding,Ukraine,Yes
Laventure , Emilie Mori,232.46,300,162,11,3/14/16,Mortality,Digital,Digital,Digital,France,No
Artemis Bride -T -1, Melora Walters,15,300,426,6,7/13/15,Women,Digital,Craft & White Craft,Digital,United States,No
My day begins, Jyoti S Puri,154,310,175,8,3/3/15,Body,Craft,Craft Other,Drawing,Canada,No
Tempest, Chris Tuff,28.8,320,137,1,8/29/15,Seascape,Craft,Craft,Digital,United Kingdom,No
venezia basilica di santa maria della salute, Gottfried Roemer,1984.5,320,605,10,7/22/13,Cities,Craft,Craft,Digital,Germany,No
Fetish Rococo, Maria Remedios Kleinschmidt,7.708,320,461,11,7/2/14,Fashion,Craft,Craft Liquid Craft Craft Liquid,Collage,Germany,Yes
Collage No. 12 Study for a Liquiding, Chris Engel,64,325,781,21,7/18/11,Still Life,Liquid,Liquid Craft,Collage,United States,Yes
Woman, Mariana Shieverska,27.186,330,487,12,8/18/15,Portrait,Craft,Craft,Collage,Bulgaria,Yes
The red sneakers ., Marat Cherny,55.696,350,738,24,6/24/15,Still Life,Digital,Other Craft,Liquiding,Russia,Yes
Vintage Heathrow, Charles Poros,36.424,380,346,21,2/1/16,Geometric,Craft,Craft,Collage,Greece,Yes
Sakura I, Ina Cheri,224,400,807,41,2/22/15,Floral,Solid,Liquid,Liquiding,United Kingdom,Yes
those days run away like horses over the hills II (limited edition 1 of 10 signed and numbered Digitalgraphs), angelo dorigo,297.36,400,724,10,6/12/14,Abstract,Digital,Digital,Digital,Italy,Yes
nude09, vonny carter,192,400,2122,6,2/28/14,Nude,Craft,Craft Liquid,Drawing,United Kingdom,Yes
Ideal  2, Melissa McGill,144,400,1367,19,5/21/13,Fashion,Digital,Other,Collage,United States,Yes
Laure, Magdalena Lamri,39.176,420,2542,26,2/28/15,Portrait,Craft,Craft Craft,Drawing,France,No
Urban Garden, Jill English,172.8,425,340,13,4/4/15,Abstract,Liquid,Liquid,Liquiding,United States,Yes
1st class Queen 2nd class Queen, Gary Hogben,731.5,450,748,17,8/1/12,People,Digital,Other,Collage,United Kingdom,Yes
On the Road to Key West..., TITO TRELLES,15.4,450,765,6,7/3/12,Nude,Craft,Craft Digital,Digital,United States,No
Mujer de la Perla , Olga Armand Ugon,99.224,450,1204,32,3/18/14,Portrait,Craft,Craft Liquid,Collage,Uruguay,No
Affection, Natalia Elina,432,450,531,5,11/26/14,Animal,Craft,Craft,Drawing,United States,No
White and Brown abstract 3, Mark Fearn,302.4,450,695,24,10/19/14,Abstract,Liquid,Liquid Liquid,Liquiding,United Kingdom,Yes
Nude I -- Limited Edition 2/100., Susan Merrell,302.5,475,2799,62,6/13/89,Nude,Craft,Craft & White Manipulated Craft Digital,Digital,United States,Yes
WL Show Edition of 10 Craft 1, Micosch Holland,237.18,485,1462,20,7/8/12,World Culture,Craft,Craft Digital Liquid,Collage,Germany,Yes
The Orange Balance, Marek Borysiewicz,167.088,495,531,11,5/31/12,Geometric,Craft,Craft Liquid,Collage,United Kingdom,No
Soul Searching, Madison Bloch,648,499,1271,25,9/9/14,Abstract,Liquid,Liquid,Liquiding,United States,Yes
Jess with Chain Limited Edition 11 of 25, S J Emberton,56,500,2977,53,4/2/09,Portrait,Craft,Craft Other Other,Digital,United Kingdom,No
Plazma I., Gyuris Robert,148.208,500,747,11,4/24/13,Abstract,Craft,Craft,Collage,Hungary,Yes
Idealismi Limited Edition 2 of 10, Manuel Colombo,434.976,500,5069,32,12/27/09,Erotic,Digital,Digital Craft,Digital,Italy,Yes
Pacific, Elizabeth Lee,400,500,72,5,2/28/15,Beach,Liquid,Liquid,Liquiding,United States,No
The pool house, Brian Thomas,460.8,500,71,3,3/23/13,Architecture,Solid,Liquid,Liquiding,United Kingdom,No
